,Unnamed: 0,id,forcefield,value,uncertainty,reference_value,reference_uncertainty,n_replicates,index,type,substance,smiles_1,smiles_2
594,594,dhmix_1000930562998604270,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,-1.0974792684570147,0.122069882062004,-0.7828,0.016,3,1072,EnthalpyOfMixing,<Substance Cc1ccccc1N{solv}{x=0.773500}|c1ccncc1{solv}{x=0.226500}>,Cc1ccccc1N,c1ccncc1
595,595,dhmix_1001984601109558110,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,0.2921798417426444,0.0610661050372966,0.419,0.0045,3,699,EnthalpyOfMixing,<Substance CCCCCC(C)=O{solv}{x=0.492000}|CCN(CC)CC{solv}{x=0.508000}>,CCCCCC(C)=O,CCN(CC)CC
596,596,dhmix_1003039131395935786,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,0.1067532041393211,0.0003469872250806,0.1573,0.0013,3,1019,EnthalpyOfMixing,<Substance C1CCOCC1{solv}{x=0.536300}|c1ccncc1{solv}{x=0.463700}>,C1CCOCC1,c1ccncc1
597,597,dhmix_1012297674499495059,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,-1.6264461937110035,0.0133956592891634,-2.7580000000000005,0.0295,3,890,EnthalpyOfMixing,<Substance C1COCCN1{solv}{x=0.201000}|O{solv}{x=0.799000}>,C1COCCN1,O
598,598,dhmix_101847702994296892,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,0.6409471357622655,0.0303713981544714,0.232,0.0025,3,231,EnthalpyOfMixing,<Substance CCCCCCCl{solv}{x=0.790000}|CN1CCCC1=O{solv}{x=0.210000}>,CCCCCCCl,CN1CCCC1=O
599,599,dhmix_1022139531284796266,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,1.1780433470352538,0.0326258175989643,1.3784,0.00585,3,1089,EnthalpyOfMixing,<Substance CCCO{solv}{x=0.730200}|O=Cc1ccccc1{solv}{x=0.269800}>,CCCO,O=Cc1ccccc1
600,600,dhmix_1037416167092316519,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,0.032261312072336,0.0789132266653158,0.7479999999999999,0.0225,3,1084,EnthalpyOfMixing,<Substance CCCNCCC{solv}{x=0.499500}|CN(C)C=O{solv}{x=0.500500}>,CCCNCCC,CN(C)C=O
601,601,dhmix_1038591828122641798,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,-0.0035573014658597,0.0377227750800527,0.4415,0.00905,3,420,EnthalpyOfMixing,<Substance CC#N{solv}{x=0.529500}|c1ccccc1{solv}{x=0.470500}>,CC#N,c1ccccc1
602,602,dhmix_1045652173440309018,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,-0.131607371963554,0.0648724878129012,-0.0091,0.00505,3,836,EnthalpyOfMixing,<Substance CC(C)OC(C)C{solv}{x=0.752000}|Cc1ccccc1{solv}{x=0.248000}>,CC(C)OC(C)C,Cc1ccccc1
603,603,dhmix_1051001364116056564,Protein-Null-0.0.3-4-mer-AAQAA3-1E3-2-OPC3_opc3,-0.1298697774304689,0.0192474155520607,0.164,0.002,3,877,EnthalpyOfMixing,<Substance CCCCCC(C)=O{solv}{x=0.781100}|CCCCNCCCC{solv}{x=0.218900}>,CCCCCC(C)=O,CCCCNCCCC
